"GAINS4_EventID","Country","SiteName","ConcurrentSamplingSite","District","StateProv","SiteLatitude","SiteLongitude","EventDate","Season","DurationDays","EventName","HumanDensityImpact","DiseaseTransmissionInterfaces"
6375,"United States","Site 5","Clinic Concurrent Site 2","District","StateProv",37.82,-91.98,"7/10/2018","Wet",21,"XX-Site 5-2018Jul10","rural","human hospital"
6376,"United States","Site 3","Clinic Concurrent Site 2","District","StateProv",37.71,-91.78,"7/20/2018","Wet",11,"XX-Site 3-2018Jul20","rural","human hospital"
6377,"United States","Site 3","Clinic Concurrent Site 2","District","StateProv",37.71,-91.78,"8/1/2018","Wet",31,"XX-Site 3-2018Aug01","rural","human hospital"
6378,"United States","Site 5","Clinic Concurrent Site 2","District","StateProv",37.82,-91.98,"8/1/2018","Wet",31,"XX-Site 5-2018Aug01","rural","human hospital"
6379,"United States","Site 3","Clinic Concurrent Site 2","District","StateProv",37.71,-91.78,"10/1/2018","Wet",31,"XX-Site 3-2018Oct01","rural","human hospital"
6380,"United States","Site 5","Clinic Concurrent Site 2","District","StateProv",37.82,-91.98,"10/1/2018","Wet",31,"XX-Site 5-2018Oct01","rural","human hospital"
6381,"United States","Site 3","Clinic Concurrent Site 2","District","StateProv",37.71,-91.78,"11/1/2018","Dry",30,"XX-Site 3-2018Nov01","rural","human hospital"
6382,"United States","Site 5","Clinic Concurrent Site 2","District","StateProv",37.82,-91.98,"11/1/2018","Dry",30,"XX-Site 5-2018Nov01","rural","human hospital"
6383,"United States","Site 3","Clinic Concurrent Site 2","District","StateProv",37.71,-91.78,"9/1/2018","Wet",30,"XX-Site 3-2018Sep01","rural","human hospital"
6384,"United States","Site 5","Clinic Concurrent Site 2","District","StateProv",37.82,-91.98,"12/1/2017","Dry",31,"XX-Site 5-2017Dec01","rural","human hospital"
6385,"United States","Site 7","Concurrent Site 2","District","StateProv",37.71,-91.7,"11/26/2018","Dry",13,"XX-Site 7-2018Nov26","rural","natural areas;animal production;dwellings and temporary settlements;crop production"
6389,"United States","Site 7","Concurrent Site 2","District","StateProv",37.71,-91.7,"12/4/2018","Dry",4,"XX-Site 7-2018Dec04","rural","natural areas;animal production;dwellings and temporary settlements;crop production"
6390,"United States","Site 1","Clinic Concurrent Site 1","District","StateProv",35.59,-90.18,"11/1/2018","Wet",30,"XX-Site 1-2018Nov01","urban","human hospital"
